iter	Logloss
0	0.6710787944
1	0.6507439622
2	0.6341996935
3	0.6196323643
4	0.6059002327
5	0.5930106931
6	0.5812487285
7	0.5721612694
8	0.5622229819
9	0.5530956411
10	0.5462405173
11	0.5394428565
12	0.5334630669
13	0.5284740519
14	0.5236267484
15	0.5202626121
16	0.5157977097
17	0.5124611804
18	0.5086878065
19	0.5057546562
20	0.5029571438
21	0.5004007597
22	0.4980440085
23	0.4957188404
24	0.493931354
25	0.4916424347
26	0.4896394186
27	0.4880087171
28	0.4862411613
29	0.4844575856
30	0.4823531354
31	0.4808952171
32	0.4797558652
33	0.4784987441
34	0.47687702
35	0.4758199087
36	0.4745669552
37	0.4737958408
38	0.4720643339
39	0.4709274719
40	0.4700934955
41	0.468900042
42	0.467664497
43	0.4667769315
44	0.4659919735
45	0.4649624411
46	0.4641601824
47	0.4632684895
48	0.4624174188
49	0.4618741884
50	0.4609555309
51	0.4602915556
52	0.4592838628
53	0.4586202058
54	0.4581262076
55	0.457487578
56	0.456824032
57	0.4561879559
58	0.4550752356
59	0.4547030351
60	0.4542809133
61	0.453753458
62	0.4529615759
63	0.4522139982
64	0.4518047148
65	0.4512882319
66	0.4507490689
67	0.4501210436
68	0.4496666879
69	0.4494811952
70	0.4489644086
71	0.448207764
72	0.4479529633
73	0.4470767208
74	0.4467280644
75	0.4463395847
76	0.4455734645
77	0.4451401599
78	0.4445157985
79	0.4440637582
80	0.4436337577
81	0.4434964878
82	0.4431195983
83	0.4424387702
84	0.4421310194
85	0.4415372386
86	0.4410864012
87	0.4406563521
88	0.4400446946
89	0.4394416236
90	0.4392103226
91	0.4388724117
92	0.4383085669
93	0.4381304692
94	0.4374685753
95	0.4374087818
96	0.4373809268
97	0.4370357404
98	0.4364507744
99	0.4360170868
100	0.4353764476
101	0.4352341906
102	0.4347700249
103	0.4347567121
104	0.4344265942
105	0.4339302054
106	0.4335585151
107	0.4329613637
108	0.4326866588
109	0.4326807071
110	0.4324726182
111	0.4319436235
112	0.4317305038
113	0.431458696
114	0.4311691775
115	0.4308997866
116	0.4305058539
117	0.4303157111
118	0.4296882852
119	0.4292747534
120	0.4288281046
121	0.4282905212
122	0.4278617719
123	0.427655235
124	0.427243473
125	0.4267082203
126	0.4265472592
127	0.4260718
128	0.4256760178
129	0.4253312632
130	0.4251093324
131	0.4248074836
132	0.4242232086
133	0.4242209849
134	0.4238790349
135	0.4231189404
136	0.4229018928
137	0.4227668901
138	0.4223527684
139	0.4219798266
140	0.4216357943
141	0.4210634915
142	0.4207508727
143	0.4202900102
144	0.4199269974
145	0.4193769144
146	0.4190444626
147	0.4186461931
148	0.4178498175
149	0.417464556
150	0.4170669961
151	0.4167167242
152	0.4163956808
153	0.4160509153
154	0.415556124
155	0.4149826018
156	0.4149711499
157	0.4144858301
158	0.4139940351
159	0.4137658071
160	0.4134540045
161	0.4131114171
162	0.412521425
163	0.4120499659
164	0.4115779631
165	0.4113046232
166	0.4109266239
167	0.4104296866
168	0.4101976975
169	0.4097493787
170	0.4093068843
171	0.4088887185
172	0.4084122033
173	0.4078764102
174	0.4076320237
175	0.4070200026
176	0.4065122726
177	0.4059281907
178	0.405564624
179	0.4049787188
180	0.4045727585
181	0.4042792459
182	0.4037938124
183	0.403544746
184	0.4033928184
185	0.403115675
186	0.4028974314
187	0.402500249
188	0.4022089233
189	0.4019077222
190	0.4013252573
191	0.4011729952
192	0.4008299
193	0.4005979732
194	0.4004109205
195	0.4000092567
196	0.3996986498
197	0.3992769898
198	0.3989611996
199	0.3983540923
200	0.398069797
201	0.3977787905
202	0.397412126
203	0.3972056863
204	0.3969011934
205	0.3965927781
206	0.3963425784
207	0.396112898
208	0.3955293436
209	0.3949932441
210	0.3947074599
211	0.3942110466
212	0.3937451053
213	0.3934323137
214	0.3931800064
215	0.3927202141
216	0.3922136247
217	0.3918908613
218	0.3915195018
219	0.3910950018
220	0.3905196224
221	0.3902449756
222	0.3900321978
223	0.3896083739
224	0.3894799183
225	0.3891570121
226	0.3888666098
227	0.3886543245
228	0.3883448915
229	0.3878544901
230	0.3872706731
231	0.3869585448
232	0.3866399537
233	0.3863902415
234	0.3861508211
235	0.3857805628
236	0.38556782
237	0.3852906019
238	0.3850999304
239	0.3849171488
240	0.3845657708
241	0.3842778342
242	0.3839259463
243	0.3837107311
244	0.38349211
245	0.3830633662
246	0.3827938218
247	0.3825285015
248	0.3822140756
249	0.3820490849
250	0.3816134064
251	0.381454212
252	0.3812779109
253	0.3810803884
254	0.3808261139
255	0.380502372
256	0.3801189758
257	0.3799010832
258	0.3794353914
259	0.3791844544
260	0.3788945097
261	0.3784334766
262	0.3782786921
263	0.3779557201
264	0.3776953549
265	0.3773229182
266	0.3770184178
267	0.3765977737
268	0.3764392444
269	0.3762972506
270	0.3758839169
271	0.3756573762
272	0.3753962792
273	0.375156486
274	0.3748525493
275	0.3744716555
276	0.3741627718
277	0.373713181
278	0.3735667523
279	0.373121189
280	0.372892882
281	0.3725471946
282	0.3721543527
283	0.3719902749
284	0.3717663099
285	0.3715254944
286	0.3713277941
287	0.3709968362
288	0.3705883298
289	0.3703609205
290	0.3699883055
291	0.3697883281
292	0.3694024144
293	0.369118313
294	0.3689049486
295	0.368616955
296	0.3681925673
297	0.3679922492
298	0.367682111
299	0.3672307548
300	0.3669395303
301	0.3665869927
302	0.3663721332
303	0.3660617011
304	0.3658311003
305	0.3657503032
306	0.3654682513
307	0.3651509265
308	0.364976273
309	0.3645028444
310	0.3643270195
311	0.3640718596
312	0.3638341292
313	0.3635751785
314	0.3633694004
315	0.3629598916
316	0.362661109
317	0.3622095323
318	0.3619791424
319	0.3617066309
320	0.3615654965
321	0.3614458025
322	0.3612351819
323	0.3609435861
324	0.360824532
325	0.3606660847
326	0.3604615744
327	0.3601759127
328	0.3599428037
329	0.3596344008
330	0.3593350654
331	0.3590300575
332	0.3588123981
333	0.35862635
334	0.3584547539
335	0.3580521781
336	0.3577777144
337	0.3574309192
338	0.3572522852
339	0.3570543854
340	0.3567244734
341	0.3565812795
342	0.3564054178
343	0.3561659948
344	0.3559728705
345	0.3556212978
346	0.3554459981
347	0.3551885325
348	0.3549429646
349	0.3547387628
350	0.3544462252
351	0.3540733984
352	0.3538379511
353	0.3536444233
354	0.353340733
355	0.3531891166
356	0.3527710986
357	0.3525247335
358	0.3522935759
359	0.3519308266
360	0.3517175757
361	0.3514731199
362	0.351317368
363	0.3510701771
364	0.3507369916
365	0.3504331221
366	0.3501353865
367	0.3500001102
368	0.3495487655
369	0.3493479792
370	0.3492045546
371	0.3488366321
372	0.3486204814
373	0.3484648373
374	0.3481484831
375	0.3479100939
376	0.3477178032
377	0.3474401071
378	0.3472500223
379	0.3470327559
380	0.3466843379
381	0.3465122389
382	0.3463453533
383	0.3461833551
384	0.3460320141
385	0.3457859162
386	0.3454997596
387	0.3452431226
388	0.3449594514
389	0.3448107264
390	0.3445236382
391	0.3442713174
392	0.3441730387
393	0.3440413719
394	0.3437745303
395	0.3434483221
396	0.3432580355
397	0.3429625018
398	0.3426235315
399	0.3422493441
400	0.3420466846
401	0.3417001376
402	0.3413730579
403	0.3409600878
404	0.3408715659
405	0.3405353012
406	0.3401913796
407	0.3400023482
408	0.33989181
409	0.3397373803
410	0.3394705285
411	0.339139962
412	0.3388373604
413	0.3384669152
414	0.3381827107
415	0.3380709216
416	0.3377557383
417	0.3375410375
418	0.3373166459
419	0.3370416495
420	0.3368405707
421	0.3365865477
422	0.3363806448
423	0.3361411115
424	0.3358325692
425	0.3355629297
426	0.3353817039
427	0.335277571
428	0.3350762564
429	0.334799614
430	0.334534843
431	0.3343739359
432	0.3342466289
433	0.3340778865
434	0.3338299969
435	0.3336315572
436	0.333291831
437	0.33311875
438	0.3328465044
439	0.3327284821
440	0.3325021781
441	0.3322651343
442	0.3320825316
443	0.3319536648
444	0.3315861624
445	0.3313241435
446	0.3312090891
447	0.3309802963
448	0.3308113386
449	0.3306537948
450	0.3304114601
451	0.3302279597
452	0.3298982806
453	0.3296779893
454	0.3293908576
455	0.3290626851
456	0.3288961753
457	0.3287030702
458	0.3284966431
459	0.3281337294
460	0.3278945239
461	0.3276482926
462	0.3274815143
463	0.3272830949
464	0.3267971316
465	0.3264994483
466	0.3262627731
467	0.3261507876
468	0.3259402372
469	0.3256739149
470	0.3255150372
471	0.3254186862
472	0.3251005761
473	0.3249167928
474	0.32473562
475	0.3245372772
476	0.3243404313
477	0.3241085125
478	0.3237169704
479	0.3234285128
480	0.3232225491
481	0.3230506358
482	0.322974059
483	0.3228091895
484	0.3226265923
485	0.3223286338
486	0.3221414293
487	0.3218700143
488	0.3217739227
489	0.3216063114
490	0.321396762
491	0.321146183
492	0.321049275
493	0.320798888
494	0.3206092231
495	0.3203258294
496	0.3201788177
497	0.319969639
498	0.3197984409
499	0.3195442641
